domain,item,dataset_count,min_score,max_score,mean_score,zero_score_count,independent_reviewed_count
mts,acquisition_protocol,14,1,3,2.714,0,10
mts,label_quality,15,1,3,2.667,0,10
mts,leakage_audit,3,2,3,2.667,0,0
mts,license,1,3,3,3,0,0
mts,local_cohort_completeness,1,0,0,0,1,0
mts,missingness,14,1,2,1.857,0,0
mts,raw_to_processed_trace,15,1,3,2.8,0,10
mts,source_official,15,2,3,2.933,0,10
mts,synchronization,13,1,3,2.692,0,10
dsi,artifact_stress,11,1,2,1.909,0,0
dsi,external_validation,15,0,0,0,15,0
dsi,forecasting_relevance,2,3,3,3,0,0
dsi,longitudinal_duration,1,1,1,1,0,0
dsi,monitoring_duration,2,3,3,3,0,0
dsi,patient_diversity,15,0,2,1.667,1,10
dsi,patient_independent_split,1,2,2,2,0,0
dsi,seizure_type_diversity,13,0,2,1.615,2,10
dsi,sensor_diversity,1,0,0,0,1,0
dsi,sensor_realism,1,3,3,3,0,0
dsi,setting_diversity,15,0,2,0.933,2,0
dsi,wearable_stress,1,1,1,1,0,0
