run_id,bundle_id,dataset_id,gate,ceiling,ceiling_rank,final_claim,is_active_ceiling
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,dataset_tier,E2-PI,3,E2-PI,True
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,split_policy,E2-PI,3,E2-PI,True
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,label_audit,E4,5,E2-PI,False
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,leakage_audit,E4,5,E2-PI,False
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,threshold_policy,E4,5,E2-PI,False
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,failure_status,E4,5,E2-PI,False
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,hardware_evidence,E4,5,E2-PI,False
chbmit_always_negative_patient_independent,chbmit_patient_independent_d:chbmit_always_negative_patient_independent,chbmit_patient_independent_d,track_consistency,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,dataset_tier,E2-PI,3,E2-PI,True
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,split_policy,E2-PI,3,E2-PI,True
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,label_audit,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,leakage_audit,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,threshold_policy,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,failure_status,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,hardware_evidence,E4,5,E2-PI,False
chbmit_waveform_micro_line_length,chbmit_waveform_micro_d:chbmit_waveform_micro_line_length,chbmit_waveform_micro_d,track_consistency,E4,5,E2-PI,False
early_warning_post_event_failure_demo,early_warning_post_event_failure_w:early_warning_post_event_failure_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E1,False
