model,held_out_subject,accuracy,acc_lo,acc_hi,precision,recall,rec_lo,rec_hi,f1,fpr,fpr_lo,fpr_hi,roc_auc,tp,tn,fp,fn,n_train,n_test,n_test_pos,n_train_pos
decision_tree,sub-001,0.9703,0.9680,0.9724,0.0086,0.0439,0.0189,0.0986,0.0144,0.0251,0.0232,0.0272,0.5094,5,22369,576,109,10866,23059,114,779
svm_rbf,sub-001,0.9871,0.9856,0.9885,0.0000,0.0000,0.0000,0.0326,0.0000,0.0080,0.0069,0.0092,0.4280,0,22762,183,114,10866,23059,114,779
random_forest,sub-001,0.9939,0.9928,0.9949,0.0000,0.0000,0.0000,0.0326,0.0000,0.0011,0.0008,0.0017,0.7974,0,22919,26,114,10866,23059,114,779
decision_tree,sub-032,0.8389,0.8233,0.8534,0.0039,0.0086,0.0015,0.0472,0.0054,0.1169,0.1041,0.1311,0.4459,1,1926,255,115,31628,2297,116,777
svm_rbf,sub-032,0.9386,0.9280,0.9477,0.0000,0.0000,0.0000,0.0321,0.0000,0.0115,0.0078,0.0169,0.5183,0,2156,25,116,31628,2297,116,777
random_forest,sub-032,0.9495,0.9398,0.9577,0.0000,0.0000,0.0000,0.0321,0.0000,0.0000,0.0000,0.0018,0.7839,0,2181,0,116,31628,2297,116,777
decision_tree,sub-085,0.9463,0.9372,0.9541,0.2039,0.5345,0.4080,0.6567,0.2952,0.0448,0.0377,0.0533,0.7448,31,2577,121,27,31169,2756,58,835
svm_rbf,sub-085,0.9383,0.9287,0.9467,0.0088,0.0172,0.0030,0.0914,0.0116,0.0419,0.0350,0.0501,0.4500,1,2585,113,57,31169,2756,58,835
random_forest,sub-085,0.9862,0.9811,0.9899,0.8846,0.3966,0.2809,0.5251,0.5476,0.0011,0.0004,0.0033,0.8148,23,2695,3,35,31169,2756,58,835
decision_tree,sub-096,0.9669,0.9587,0.9735,0.1481,0.2162,0.1139,0.3720,0.1758,0.0206,0.0155,0.0274,0.5978,8,2182,46,29,31660,2265,37,856
svm_rbf,sub-096,0.9695,0.9616,0.9759,0.0000,0.0000,0.0000,0.0941,0.0000,0.0144,0.0102,0.0202,0.4091,0,2196,32,37,31660,2265,37,856
random_forest,sub-096,0.9854,0.9796,0.9896,0.8333,0.1351,0.0591,0.2798,0.2326,0.0004,0.0001,0.0025,0.9052,5,2227,1,32,31660,2265,37,856
decision_tree,sub-124,0.8424,0.8271,0.8566,0.3333,0.0696,0.0472,0.1014,0.1151,0.0240,0.0182,0.0317,0.5228,24,1948,48,321,31584,2341,345,548
svm_rbf,sub-124,0.8394,0.8240,0.8537,0.3931,0.1652,0.1298,0.2081,0.2327,0.0441,0.0359,0.0540,0.6542,57,1908,88,288,31584,2341,345,548
random_forest,sub-124,0.8531,0.8381,0.8668,1.0000,0.0029,0.0005,0.0162,0.0058,0.0000,0.0000,0.0019,0.6757,1,1996,0,344,31584,2341,345,548
decision_tree,sub-125,0.8111,0.7880,0.8322,0.4603,0.1300,0.0921,0.1805,0.2028,0.0346,0.0248,0.0479,0.5477,29,950,34,194,32718,1207,223,670
svm_rbf,sub-125,0.8152,0.7924,0.8361,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000,0.0039,0.5000,0,984,0,223,32718,1207,223,670
random_forest,sub-125,0.8152,0.7924,0.8361,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000,0.0039,0.8308,0,984,0,223,32718,1207,223,670
